SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
96,2014,Trocadero,annual,Ursus americanus,2041.5,12520.25,0.16305585
96,2014,Trocadero,annual,Pica sp.,607,12520.25,0.04848146
96,2014,Trocadero,annual,Castor canadensis,571.5,12520.25,0.045646053
96,2014,Trocadero,annual,Oncorhynchus kisutch,269,12520.25,0.021485194
97,2014,Trocadero,annual,Odocoileus hemionus,1998.75,5021.91667,0.398005409
97,2014,Trocadero,annual,Ursus americanus,1605.66667,5021.91667,0.319731843
97,2014,Trocadero,annual,Castor canadensis,1417.5,5021.91667,0.282262748
99,2014,Honker,annual,Odocoileus hemionus,1590.75,1590.75,1
100,2014,Honker,annual,Odocoileus hemionus,6228.5,7541.5,0.825896705
100,2014,Honker,annual,Ursus americanus,772,7541.5,0.102366903
100,2014,Honker,annual,Castor canadensis,541,7541.5,0.071736392
101,2015,Sandy Beach,annual,Odocoileus hemionus,24929.5,25976,0.959712812
101,2015,Sandy Beach,annual,Ursus americanus,1046.5,25976,0.040287188
102,2015,Sandy Beach,annual,Odocoileus hemionus,8331.25,8331.25,1
104,2015,Honker,annual,Odocoileus hemionus,239287.5,239287.5,1
105,2015,Honker,annual,Odocoileus hemionus,13973.75,15310.75,0.912675734
105,2015,Honker,annual,Castor canadensis,1337,15310.75,0.087324266
106,2015,Honker,annual,Odocoileus hemionus,206163.75,209017.4167,0.98634723
106,2015,Honker,annual,Castor canadensis,2853.66667,209017.4167,0.01365277
107,2015,Honker,annual,Odocoileus hemionus,152035,152035,1
108,2015,Honker,annual,Odocoileus hemionus,7884.66667,7884.66667,1
109,2015,Honker,annual,Odocoileus hemionus,354856,357720,0.991993738
109,2015,Honker,annual,Ursus americanus,2864,357720,0.008006262
110,2015,Honker,annual,Odocoileus hemionus,78173,78173,1
111,2015,Honker,annual,Castor canadensis,5641,6806.33333,0.828786915
111,2015,Honker,annual,Odocoileus hemionus,1165.33333,6806.33333,0.171213085
