SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
717,2016,Honker,annual,Odocoileus hemionus,35085,36328,0.965783968
717,2016,Honker,annual,Microtus sp.,1243,36328,0.034216032
718,2016,Honker,annual,Odocoileus hemionus,20834,20834,1
719,2016,NA,NA,Oncorhynchus gorbuscha,5976,5976,1
720,2016,Staney,annual,Castor canadensis,2674,2674,1
721,2016,Trocadero,annual,Odocoileus hemionus,93149,93149,1
723,2016,Nossuk,annual,Odocoileus hemionus,72688,77513,0.937752377
723,2016,Nossuk,annual,Castor canadensis,4825,77513,0.062247623
724,2016,Staney,annual,Odocoileus hemionus,957,957,1
725,2016,Snow Pass,den,Odocoileus hemionus,17722,17722,1
730,2016,Nossuk,annual,Odocoileus hemionus,15034,15034,1
733,2016,Trocadero,annual,Odocoileus hemionus,71009,71009,1
735,2016,Snow Pass,annual,Phoca vitulina,2354,4673,0.503744918
735,2016,Snow Pass,annual,Castor canadensis,2319,4673,0.496255082
737,2016,Trocadero,annual,Odocoileus hemionus,60083,65130,0.922508828
737,2016,Trocadero,annual,Oncorhynchus gorbuscha,5047,65130,0.077491172
741,2016,Sandy Beach,annual,Odocoileus hemionus,7214,7214,1
742,2016,Heceta,annual,Odocoileus hemionus,9411,9411,1
743,2016,Heceta,annual,Castor canadensis,145309,145309,1
746,2016,Heceta,annual,Odocoileus hemionus,5386,5386,1
748,2016,Heceta,annual,Odocoileus hemionus,3627,3627,1
749,2016,Honker,annual,Odocoileus hemionus,24047,24047,1
750,2016,Snow Pass,annual,Odocoileus hemionus,25769,25769,1
751,2016,Snow Pass,annual,Odocoileus hemionus,3257,3257,1
754,2016,Snow Pass,annual,Xeneretmus latifrons,384,384,1
802,2017,Snow Pass,den,Neovison vison,454,454,1
803,2017,Snow Pass,den,Odocoileus hemionus,351,351,1
804,2017,Snow Pass,den,Haliaeetus leucocephalus,31694,47968,0.660732155
804,2017,Snow Pass,den,Neovison vison,16274,47968,0.339267845
805,2017,Snow Pass,den,Neovison vison,1818,2335,0.778586724
805,2017,Snow Pass,den,Haliaeetus leucocephalus,517,2335,0.221413276
1008,2016,Heceta,annual,Odocoileus hemionus,482,482,1
1011,2016,Heceta,annual,Phoca vitulina,10373.33333,10373.33333,1
1013,2016,Heceta,annual,Odocoileus hemionus,11122,11122,1
1014,2016,Heceta,annual,Odocoileus hemionus,5551.333333,11209.33333,0.49524206
1014,2016,Heceta,annual,Enhydra lutris,4854,11209.33333,0.433031997
1014,2016,Heceta,annual,Haliaeetus leucocephalus,804,11209.33333,0.071725943
1015,2016,Heceta,annual,Odocoileus hemionus,11325,11325,1
1016,2016,Heceta,annual,Odocoileus hemionus,12489.33333,12489.33333,1
1019,2016,Heceta,annual,Odocoileus hemionus,203222.6667,203222.6667,1
1020,2016,Staney,annual,Castor canadensis,21736,23687.33333,0.917621232
1020,2016,Staney,annual,Odocoileus hemionus,1951.333333,23687.33333,0.082378768
1021,2016,NA,NA,Castor canadensis,334489.3333,334489.3333,1
1022,2016,NA,NA,Odocoileus hemionus,6338,6338,1
1023,2016,Staney,annual,Castor canadensis,129241.3333,130791.3333,0.988149062
1023,2016,Staney,annual,Odocoileus hemionus,1550,130791.3333,0.011850938
1024,2016,NA,NA,Odocoileus hemionus,77302.66667,85707.33333,0.901937602
1024,2016,NA,NA,Castor canadensis,8404.666667,85707.33333,0.098062398
1025,2016,Staney,annual,Odocoileus hemionus,21352.66667,21352.66667,1
1026,2016,Staney,annual,Odocoileus hemionus,66975.33333,66975.33333,1
1027,2016,Staney,annual,Odocoileus hemionus,61223.33333,61223.33333,1
1028,2016,Snow Pass,annual,Odocoileus hemionus,64184.66667,64184.66667,1
1031,2016,Snow Pass,annual,Odocoileus hemionus,20041.33333,20041.33333,1
1032,2016,Honker,annual,Castor canadensis,4356,4356,1
1033,2016,Trocadero,annual,Odocoileus hemionus,4254.666667,4254.666667,1
1034,2016,Trocadero,annual,Odocoileus hemionus,12785.66667,12785.66667,1
1035,2016,Trocadero,annual,Odocoileus hemionus,22319.33333,22319.33333,1
1036,2016,Trocadero,annual,Odocoileus hemionus,31048.33333,31048.33333,1
1037,2016,Trocadero,annual,Odocoileus hemionus,18174,18174,1
1038,2016,Hydaburg,annual,Odocoileus hemionus,17068,17068,1
1039,2016,Hydaburg,annual,Odocoileus hemionus,9200,9200,1
1040,2016,Hydaburg,annual,Odocoileus hemionus,7788,7788,1
1041,2016,Hydaburg,annual,Odocoileus hemionus,4518,4518,1
1042,2016,Hydaburg,annual,Odocoileus hemionus,1723.333333,1723.333333,1
1043,2016,NA,NA,Odocoileus hemionus,113647.3333,113647.3333,1
1045,2016,NA,NA,Odocoileus hemionus,53015,53015,1
1047,2016,Trocadero,annual,Odocoileus hemionus,42603.33333,42603.33333,1
1070,2017,Snow Pass,annual,Haliaeetus leucocephalus,2365.666667,3041,0.777923929
1070,2017,Snow Pass,annual,Odocoileus hemionus,675.3333333,3041,0.222076071
1072,2017,Honker,annual,Odocoileus hemionus,50689.33333,50689.33333,1
1075,2016,Nossuk,annual,Odocoileus hemionus,20395.33333,20395.33333,1
1076,2017,Trocadero,annual,Odocoileus hemionus,73151,73151,1
1078,2017,Nossuk,annual,Odocoileus hemionus,33487.66667,33487.66667,1
1079,2017,Snow Pass,annual,Odocoileus hemionus,79294,79294,1
1080,2016,Trocadero,annual,Phoca vitulina,985,985,1
1081,2017,Trocadero,annual,Odocoileus hemionus,154556,154556,1
1082,2017,Staney,annual,Odocoileus hemionus,36793.33333,36793.33333,1
1083,2017,Trocadero,annual,Odocoileus hemionus,88652,88652,1
1084,2017,Nossuk,annual,Odocoileus hemionus,25466.66667,25466.66667,1
1086,2017,Trocadero,annual,Ursus americanus,42629.33333,42629.33333,1
1087,2016,Heceta,annual,Odocoileus hemionus,52448,52448,1
1088,2016,Heceta,annual,Castor canadensis,69749,69749,1
1089,2016,Heceta,annual,Odocoileus hemionus,21423.33333,21423.33333,1
1090,2016,Heceta,annual,Phoca vitulina,288.3333333,288.3333333,1
1091,2016,Heceta,annual,Enhydra lutris,129876.6667,134272,0.967265451
1091,2016,Heceta,annual,Odocoileus hemionus,4395.333333,134272,0.032734549
1093,2016,Honker,annual,Odocoileus hemionus,10566.66667,20434.33333,0.517103568
1093,2016,Honker,annual,Castor canadensis,9867.666667,20434.33333,0.482896432
1095,2016,Honker,annual,Odocoileus hemionus,114032.6667,114032.6667,1
1096,2016,Honker,annual,Odocoileus hemionus,19151.33333,19483.66667,0.982942978
1096,2016,Honker,annual,Castor canadensis,332.3333333,19483.66667,0.017057022
1097,2016,Honker,annual,Odocoileus hemionus,6067,6067,1
1098,2016,Honker,annual,Odocoileus hemionus,49492.66667,60251.66667,0.821432326
1098,2016,Honker,annual,Castor canadensis,10759,60251.66667,0.178567674
1099,2016,Honker,annual,Castor canadensis,43853,43853,1
1102,2016,Sandy Beach,annual,Odocoileus hemionus,10023.66667,10023.66667,1
1103,2016,Sandy Beach,annual,Odocoileus hemionus,16094.66667,16094.66667,1
1104,2016,Sandy Beach,annual,Odocoileus hemionus,8767,8767,1
1105,2016,Ratz,annual,Odocoileus hemionus,35734,35734,1
1106,2016,Honker,annual,Odocoileus hemionus,50123,50123,1
1107,2016,Ratz,annual,Odocoileus hemionus,57405.33333,57405.33333,1
1110,2016,Ratz,annual,Odocoileus hemionus,2019.666667,2019.666667,1
1114,2016,Heceta,annual,Castor canadensis,101853.6667,101853.6667,1
1144,2017,Sandy Beach,annual,Odocoileus hemionus,5126,5126,1
1165,2017,Snow Pass,annual,Falcipennis canadensis franklinii,169,706,0.239376771
1165,2017,Snow Pass,annual,Haliaeetus leucocephalus,537,706,0.760623229
1166,2017,NA,NA,Odocoileus hemionus,1425,1425,1
1168,2017,Trocadero,annual,Odocoileus hemionus,744,744,1
1169,2017,Snow Pass,annual,Phoca vitulina,4312,4312,1
1170,2017,Snow Pass,annual,Neovison vison,620,620,1
1171,2017,Trocadero,annual,Odocoileus hemionus,11912,11912,1
1173,2017,Snow Pass,annual,Odocoileus hemionus,5406,5406,1
1174,2017,NA,NA,Odocoileus hemionus,28259,28259,1
1176,2017,Snow Pass,annual,Odocoileus hemionus,22007,22007,1
1177,2017,Snow Pass,annual,Odocoileus hemionus,4599,4599,1
1178,2017,Staney,annual,Castor canadensis,2648,2648,1
1433,2017,NA,NA,Odocoileus hemionus,10046,10046,1
1434,2018,Staney,den,Odocoileus hemionus,5720,5720,1
1435,2018,Staney,annual,Odocoileus hemionus,299,299,1
1436,2018,Staney,annual,Odocoileus hemionus,313,313,1
1437,2018,Staney,annual,Odocoileus hemionus,12135,12135,1
1439,2018,Staney,annual,Odocoileus hemionus,5593,5593,1
1440,2018,Staney,den,Odocoileus hemionus,21602,21602,1
1785,2018,Staney,annual,Odocoileus hemionus,1611,1611,1
1786,2017,Honker,annual,Odocoileus hemionus,14453,14453,1
1787,2018,Honker,annual,Odocoileus hemionus,14840,14840,1
1788,2018,Honker,annual,Odocoileus hemionus,8641,8641,1
1929,2020,Trocadero,annual,Odocoileus hemionus,44400,44400,1
1930,2020,Trocadero,annual,Odocoileus hemionus,2680,2906.333333,0.922124097
1930,2020,Trocadero,annual,Castor canadensis,226.3333333,2906.333333,0.077875903
1931,2020,Trocadero,annual,Odocoileus hemionus,2202.666667,2202.666667,1
1932,2020,Trocadero,annual,Odocoileus hemionus,36146.66667,36146.66667,1
1933,2020,Trocadero,annual,Odocoileus hemionus,9289.333333,9289.333333,1
2234,2020,Honker,annual,Oncorhynchus gorbuscha,98336.33333,126368.3333,0.778172274
2234,2020,Honker,annual,Ursus americanus,28032,126368.3333,0.221827726
2235,2020,Honker,annual,Odocoileus hemionus,6740.333333,6740.333333,1
2250,2020,NA,NA,Odocoileus hemionus,21778,21778,1
2251,2020,Staney,annual,Odocoileus hemionus,33218,33218,1
2252,2020,Staney,annual,Odocoileus hemionus,9256,11347,0.815722217
2252,2020,Staney,annual,Ursus americanus,2091,11347,0.184277783
2254,2020,NA,NA,Odocoileus hemionus,47919,47919,1
2255,2020,NA,NA,Denragapus fuliginosus,198,633,0.312796209
2255,2020,NA,NA,Odocoileus hemionus,435,633,0.687203791
2258,2020,Honker,annual,Odocoileus hemionus,1707,1707,1
2259,2020,NA,NA,Odocoileus hemionus,5503,5503,1
2260,2020,Trocadero,annual,Odocoileus hemionus,2043,4469,0.45714925
2260,2020,Trocadero,annual,Ursus americanus,2426,4469,0.54285075
2261,2020,NA,NA,Odocoileus hemionus,39359,39359,1
2262,2020,Staney,annual,Microtus sp.,356,1954,0.182190379
2262,2020,Staney,annual,Odocoileus hemionus,1598,1954,0.817809621
2263,2020,Staney,annual,Lontra canadensis,19010,19010,1
2264,2020,Snow Pass,annual,Enhydra lutris,2995,2995,1
2265,2020,Honker,annual,Odocoileus hemionus,3942,3942,1
2266,2020,Honker,annual,Microtus sp.,755,8391,0.089977357
2266,2020,Honker,annual,Odocoileus hemionus,7636,8391,0.910022643
2278,2020,Snow Pass,annual,Eumetopias jubatus,2558,2558,1
2279,2020,Trocadero,annual,Odocoileus hemionus,7602,9929,0.765636016
2279,2020,Trocadero,annual,Peromyscus keeni,2327,9929,0.234363984
2281,2020,Snow Pass,annual,Odocoileus hemionus,24392,25146,0.970015112
2281,2020,Snow Pass,annual,Phoca vitulina,754,25146,0.029984888
2282,2020,Snow Pass,annual,Odocoileus hemionus,6459,6459,1
2285,2020,Snow Pass,annual,Castor canadensis,1810,2700,0.67037037
2285,2020,Snow Pass,annual,Odocoileus hemionus,890,2700,0.32962963
2286,2020,Snow Pass,annual,Neovison vison,10428,10428,1
2471,2016,Sandy Beach,den,Castor canadensis,33368,33368,1
2472,2016,Sandy Beach,den,Castor canadensis,36,36,1
2473,2016,Sandy Beach,den,Chen caerulescens caerulescens,2734,3359,0.813932718
2473,2016,Sandy Beach,den,Odocoileus hemionus,625,3359,0.186067282
2474,2016,Sandy Beach,den,Castor canadensis,79487,79487,1
2475,2016,Staney,den,Odocoileus hemionus,14005,14005,1
2476,2016,Staney,den,Odocoileus hemionus,330,330,1
2483,2016,Staney,den,Odocoileus hemionus,18962,18962,1
2484,2016,Ratz,den,Odocoileus hemionus,2373,2373,1
2486,2016,Sandy Beach,den,Odocoileus hemionus,14747,14747,1
2492,2016,Ratz,den,Odocoileus hemionus,2736,2736,1
2494,2016,Staney,den,Odocoileus hemionus,42275,42275,1
2495,2016,Hydaburg,den,Odocoileus hemionus,2928,2928,1
2496,2016,Hydaburg,den,Odocoileus hemionus,26608,26608,1
2497,2016,Hydaburg,annual,Odocoileus hemionus,19600,19600,1
2498,2016,NA,NA,Odocoileus hemionus,12289,12760,0.963087774
2498,2016,NA,NA,Ursus americanus,471,12760,0.036912226
2499,2016,Hydaburg,annual,Odocoileus hemionus,74471,74471,1
2500,2016,Hydaburg,den,Odocoileus hemionus,7584,7584,1
2502,2016,Sandy Beach,den,Odocoileus hemionus,23801,31041,0.766760091
2502,2016,Sandy Beach,den,Castor canadensis,7240,31041,0.233239909
2505,2016,Ratz,den,Odocoileus hemionus,54314,54314,1
2506,2016,Ratz,den,Odocoileus hemionus,10334,10334,1
2509,2016,NA,NA,Antigone canadensis,720,68179,0.010560436
2509,2016,NA,NA,Odocoileus hemionus,53934,68179,0.791064697
2509,2016,NA,NA,Ursus americanus,13525,68179,0.198374866
2510,2016,Hydaburg,den,Odocoileus hemionus,670,670,1
2511,2016,Hydaburg,den,Odocoileus hemionus,22285,22285,1
2512,2016,Hydaburg,den,Odocoileus hemionus,36582,36582,1
2514,2016,Hydaburg,den,Odocoileus hemionus,23061,23061,1
2515,2016,Hydaburg,den,Odocoileus hemionus,21578,21578,1
2517,2016,Sandy Beach,den,Odocoileus hemionus,1116,1116,1
2519,2016,Sandy Beach,den,Odocoileus hemionus,2990,2990,1
2521,2016,Sandy Beach,den,Odocoileus hemionus,10937,12142,0.900757701
2521,2016,Sandy Beach,den,Junco hyemalis,1205,12142,0.099242299
2522,2016,Ratz,den,Ursus americanus,3358,3358,1
2525,2016,Sandy Beach,den,Odocoileus hemionus,81704,81704,1
2526,2017,Hydaburg,den,Odocoileus hemionus,669,669,1
2527,2017,Hydaburg,den,Odocoileus hemionus,3097,3097,1
2529,2017,Hydaburg,den,Odocoileus hemionus,7062,7062,1
2531,2017,Hydaburg,den,Odocoileus hemionus,9020,9020,1
2532,2017,Hydaburg,den,Odocoileus hemionus,6522,6742,0.967368733
2532,2017,Hydaburg,den,Castor canadensis,220,6742,0.032631267
2533,2017,Hydaburg,den,Odocoileus hemionus,3306,3306,1
2534,2017,Hydaburg,den,Odocoileus hemionus,2840,2840,1
2535,2017,Hydaburg,den,Odocoileus hemionus,774,774,1
2536,2017,Hydaburg,den,Odocoileus hemionus,3146,3146,1
2538,2017,Hydaburg,den,Odocoileus hemionus,3525,3525,1
2540,2017,Hydaburg,den,Odocoileus hemionus,5283,5283,1
2541,2017,Hydaburg,den,Odocoileus hemionus,55323,57258,0.966205596
2541,2017,Hydaburg,den,Castor canadensis,1935,57258,0.033794404
2542,2017,Trocadero,den,Odocoileus hemionus,31003,31003,1
2543,2017,Trocadero,den,Odocoileus hemionus,12744,12744,1
2544,2017,Trocadero,den,Odocoileus hemionus,4557,4557,1
2547,2017,Trocadero,den,Odocoileus hemionus,9011,9011,1
2548,2017,Trocadero,den,Odocoileus hemionus,841,841,1
2549,2017,Trocadero,den,Odocoileus hemionus,3521,3521,1
2551,2017,Trocadero,den,Odocoileus hemionus,1940,6971,0.278295797
2551,2017,Trocadero,den,Lontra canadensis,5031,6971,0.721704203
2552,2017,Trocadero,den,Odocoileus hemionus,7997,7997,1
2553,2017,Trocadero,den,Odocoileus hemionus,13363,13363,1
2554,2017,Trocadero,den,Odocoileus hemionus,261,880,0.296590909
2554,2017,Trocadero,den,Lontra canadensis,619,880,0.703409091
2555,2017,Trocadero,den,Odocoileus hemionus,1382,24694,0.055965012
2555,2017,Trocadero,den,Lontra canadensis,23312,24694,0.944034988
2557,2017,Sandy Beach,den,Odocoileus hemionus,10445,10445,1
2558,2017,Sandy Beach,den,Odocoileus hemionus,7389,7389,1
2559,2017,Sandy Beach,den,Odocoileus hemionus,68920,68920,1
2560,2017,Ratz,annual,Odocoileus hemionus,51820,102547,0.505329264
2560,2017,Ratz,annual,Ursus americanus,50727,102547,0.494670736
2562,2017,Hydaburg,den,Odocoileus hemionus,251,251,1
2563,2017,Hydaburg,den,Odocoileus hemionus,6002,6002,1
2564,2017,Hydaburg,den,Odocoileus hemionus,2813,2965,0.948735245
2564,2017,Hydaburg,den,Castor canadensis,152,2965,0.051264755
2565,2017,Snow Pass,den,Cottidae sp.,379,379,1
2566,2017,Snow Pass,den,Cottidae sp.,587,587,1
2567,2017,Snow Pass,den,Ardea herodias,4388,9731,0.450930017
2567,2017,Snow Pass,den,Odocoileus hemionus,5343,9731,0.549069983
2568,2017,Snow Pass,den,Neovison vison,135,135,1
2569,2017,Snow Pass,den,Neovison vison,9720,9720,1
2570,2017,Snow Pass,den,Odocoileus hemionus,90204,90204,1
2571,2017,Snow Pass,den,Haliaeetus leucocephalus,36178,36178,1
2575,2017,Hydaburg,den,Odocoileus hemionus,22722,22722,1
2576,2017,Hydaburg,den,Odocoileus hemionus,7439,7439,1
2577,2017,Hydaburg,den,Odocoileus hemionus,20903,20903,1
2580,2017,Hydaburg,den,Odocoileus hemionus,47759,47759,1
2583,2017,Trocadero,den,Lontra canadensis,202,202,1
2584,2017,Trocadero,den,Odocoileus hemionus,75270,85082,0.88467596
2584,2017,Trocadero,den,Ursus americanus,9812,85082,0.11532404
2587,2017,Old Franks,den,Odocoileus hemionus,6436,6436,1
2589,2017,Sandy Beach,den,Odocoileus hemionus,18183,18183,1
2591,2017,Sandy Beach,den,Odocoileus hemionus,15929,15929,1
2592,2017,Sandy Beach,den,Odocoileus hemionus,38007,38007,1
2593,2017,Sandy Beach,den,Odocoileus hemionus,26820,26820,1
2594,2017,Sandy Beach,den,Odocoileus hemionus,22997,22997,1
2595,2017,Sandy Beach,den,Odocoileus hemionus,22245,22245,1
2596,2017,Sandy Beach,den,Odocoileus hemionus,32745,32745,1
2598,2017,Sandy Beach,den,Odocoileus hemionus,1264,1264,1
2599,2017,Sandy Beach,den,Odocoileus hemionus,14321,15342,0.933450658
2599,2017,Sandy Beach,den,Junco hyemalis,1021,15342,0.066549342
2601,2017,Sandy Beach,den,Odocoileus hemionus,40408,40408,1
2602,2017,Sandy Beach,den,Odocoileus hemionus,66673,76743,0.868782821
2602,2017,Sandy Beach,den,Junco hyemalis,10070,76743,0.131217179
2603,2017,Trocadero,den,Odocoileus hemionus,44221,44221,1
2610,2017,Trocadero,den,Odocoileus hemionus,45724,45724,1
2615,2017,Trocadero,den,Odocoileus hemionus,17105,17105,1
2617,2017,Trocadero,den,Odocoileus hemionus,4266,4266,1
2624,2018,Honker,den,Odocoileus hemionus,35831,36339,0.986020529
2624,2018,Honker,den,Chen caerulescens caerulescens,508,36339,0.013979471
2625,2018,Hydaburg,den,Odocoileus hemionus,1105,1105,1
2626,2018,Staney,den,Odocoileus hemionus,42524,42524,1
2627,2018,Staney,den,Odocoileus hemionus,24133,24133,1
2629,2018,Staney,den,Odocoileus hemionus,42998,42998,1
2630,2018,Staney,den,Odocoileus hemionus,2316,2316,1
2633,2018,Staney,den,Odocoileus hemionus,22368,22368,1
2634,2018,Staney,den,Odocoileus hemionus,2657,2657,1
2635,2018,Staney,den,Odocoileus hemionus,32606,32606,1
2636,2018,Staney,den,Odocoileus hemionus,108587,108587,1
2637,2018,Staney,den,Odocoileus hemionus,16118,16118,1
2639,2018,Staney,den,Odocoileus hemionus,29135,29135,1
2643,2018,Staney,den,Odocoileus hemionus,17014,17014,1
2644,2018,Staney,den,Odocoileus hemionus,7292,7292,1
2646,2018,Staney,den,Odocoileus hemionus,19461,19461,1
2648,2018,Staney,den,Odocoileus hemionus,5390,5390,1
2651,2018,Staney,den,Odocoileus hemionus,795,795,1
2653,2018,Old Franks,den,Odocoileus hemionus,4218,4218,1
2654,2018,Old Franks,den,Odocoileus hemionus,6241,7000,0.891571429
2654,2018,Old Franks,den,Ursus americanus,759,7000,0.108428571
2655,2018,Old Franks,den,Odocoileus hemionus,17856,17856,1
2656,2018,Old Franks,den,Odocoileus hemionus,18156,18156,1
2657,2018,Old Franks,den,Odocoileus hemionus,15703,15703,1
2658,2018,Old Franks,den,Odocoileus hemionus,17969,17969,1
2659,2018,Old Franks,den,Odocoileus hemionus,9701,9701,1
2660,2018,Old Franks,den,Odocoileus hemionus,25621,25621,1
2662,2018,Old Franks,den,Odocoileus hemionus,25078,25078,1
2800,2020,Snow Pass,annual,Odocoileus hemionus,3165,3165,1
2801,2020,Snow Pass,annual,Enhydra lutris,7114,7375,0.964610169
2801,2020,Snow Pass,annual,Peromyscus keeni,261,7375,0.035389831
2802,2020,Snow Pass,annual,Cottidae sp.,308,308,1
2803,2020,Snow Pass,annual,Neovison vison,9870,9870,1
2804,2020,Snow Pass,annual,Lontra canadensis,54112,54112,1
2806,2020,Snow Pass,annual,Castor canadensis,37574,37574,1
2807,2020,Snow Pass,annual,Odocoileus hemionus,13315,13315,1
2808,2020,Snow Pass,annual,Lontra canadensis,11057,11057,1
2809,2020,Snow Pass,annual,Lontra canadensis,15937,15937,1
2810,2020,Snow Pass,annual,Lontra canadensis,10441,10441,1
2811,2020,Snow Pass,annual,Neovison vison,848,66660,0.012721272
2811,2020,Snow Pass,annual,Odocoileus hemionus,65100,66660,0.97659766
2811,2020,Snow Pass,annual,Phoca vitulina,712,66660,0.010681068
2812,2020,NA,NA,Odocoileus hemionus,4513,4513,1
2813,2020,NA,NA,Odocoileus hemionus,45664,45664,1
2815,2020,Snow Pass,annual,Odocoileus hemionus,769,769,1
2816,2020,Snow Pass,annual,Lontra canadensis,25838,25838,1
2817,2020,Snow Pass,annual,Odocoileus hemionus,4886,4886,1
2818,2020,Snow Pass,annual,Castor canadensis,1096,1096,1
2820,2020,Snow Pass,annual,Castor canadensis,58786,58786,1
2822,2020,Honker,annual,Odocoileus hemionus,6090,6090,1
2823,2021,Trocadero,annual,Odocoileus hemionus,26997,26997,1
2824,2021,Trocadero,annual,Odocoileus hemionus,24289,24289,1
2825,2021,Trocadero,annual,Odocoileus hemionus,40251,40251,1
2827,2021,Trocadero,annual,Odocoileus hemionus,17080,17080,1
2828,2021,Snow Pass,annual,Enhydra lutris,657,657,1
2829,2021,Snow Pass,annual,Enhydra lutris,460,460,1
2830,2021,Snow Pass,annual,Odocoileus hemionus,8121,8121,1
2831,2021,Staney,annual,Odocoileus hemionus,27253,27253,1
2832,2021,Snow Pass,annual,Odocoileus hemionus,1568,1568,1
2833,2020,Snow Pass,annual,Odocoileus hemionus,55272,55272,1
2834,2021,Snow Pass,annual,Odocoileus hemionus,9940,9940,1
2838,2017,Hydaburg,den,Odocoileus hemionus,726,3907,0.185820322
2838,2017,Hydaburg,den,Castor canadensis,3181,3907,0.814179678
2839,2017,Hydaburg,den,Odocoileus hemionus,7512,7512,1
2840,2017,Hydaburg,den,Odocoileus hemionus,42,303,0.138613861
2840,2017,Hydaburg,den,Castor canadensis,261,303,0.861386139
2842,2017,Old Franks,den,Odocoileus hemionus,15200,15200,1
2843,2016,Sandy Beach,den,Odocoileus hemionus,43751,47892,0.91353462
2843,2016,Sandy Beach,den,Melospiza melodia,1414,47892,0.029524764
2843,2016,Sandy Beach,den,Mictrotus sp.,2727,47892,0.056940616
2844,2016,Hydaburg,den,Odocoileus hemionus,16732,16732,1
2845,2016,Ratz,den,Odocoileus hemionus,18403,18403,1
2848,2016,Ratz,den,Odocoileus hemionus,26961,26961,1
2851,2016,Ratz,den,Odocoileus hemionus,58367,58367,1
